"","FlowBin","OMRBin","ALT1 090923","ALT2 v1 090723 woTUCP","ALT2 v1 090723 wTUCP","ALT2 v2 090723 noTUCP","ALT2 v3 090723 noTUCP","ALT3 092423","ALT4 090823","EXP1 090623","EXP3 090623","NAA 090723"
"1","lolo","-2000",38,34,35,39,38,40,34,0,0,41
"2","lolo","-3500",14,18,17,22,21,12,12,0,0,17
"3","lolo","-5000",11,14,15,12,11,3,19,0,0,23
"4","lolo","<-5500",15,6,6,8,7,0,10,0,0,10
"5","lolo","NA",30,65,62,57,61,115,68,85,140,41
"6","lomed","-2000",15,19,14,29,16,11,15,0,0,28
"7","lomed","-3500",14,11,13,11,8,5,16,0,0,9
"8","lomed","-5000",7,8,8,8,8,1,9,0,0,15
"9","lomed","<-5500",6,0,0,0,0,1,1,0,0,0
"10","lomed","NA",42,37,40,34,41,52,34,25,63,18
"11","lohi","-2000",0,2,1,1,1,3,0,0,0,13
"12","lohi","-3500",18,16,17,13,8,4,17,0,0,6
"13","lohi","-5000",3,3,3,3,3,1,3,0,0,2
"14","lohi","<-5500",0,0,0,0,0,0,0,0,0,0
"15","lohi","NA",9,9,8,13,11,12,9,19,38,10
"16","medlo","-2000",1,2,2,1,2,14,1,0,0,1
"17","medlo","-3500",0,17,16,13,13,2,8,0,0,6
"18","medlo","-5000",16,18,18,18,19,12,26,0,0,54
"19","medlo","<-5500",54,11,11,9,10,1,8,0,0,9
"20","medlo","NA",5,24,25,23,20,33,23,58,35,11
"21","medmed","-2000",2,7,6,15,17,3,5,0,0,28
"22","medmed","-3500",20,46,49,29,31,4,38,0,0,21
"23","medmed","-5000",7,11,11,10,10,6,25,0,0,25
"24","medmed","<-5500",69,3,3,3,3,0,2,0,0,3
"25","medmed","NA",7,29,28,40,45,49,26,45,46,24
"26","medhi","-2000",1,0,0,2,6,0,0,0,0,10
"27","medhi","-3500",10,26,26,18,18,0,18,0,0,7
"28","medhi","-5000",16,11,11,10,10,3,12,0,0,8
"29","medhi","<-5500",13,0,0,0,0,0,0,0,0,0
"30","medhi","NA",14,13,14,20,21,38,22,36,49,26
"31","hilo","-2000",0,0,0,0,0,5,0,0,0,0
"32","hilo","-3500",0,8,8,8,7,2,4,0,0,3
"33","hilo","-5000",0,8,8,8,8,14,10,0,0,13
"34","hilo","<-5500",20,0,0,0,0,0,0,0,0,0
"35","hilo","NA",1,4,4,3,3,8,6,25,30,4
"36","himed","-2000",0,1,1,4,5,10,1,0,0,4
"37","himed","-3500",2,27,27,17,17,6,16,0,0,13
"38","himed","-5000",0,17,17,17,17,33,35,0,0,25
"39","himed","<-5500",65,0,0,0,0,0,0,0,0,0
"40","himed","NA",1,23,23,30,29,29,14,102,70,20
"41","hihi","-2000",7,4,3,14,14,4,3,0,0,12
"42","hihi","-3500",13,45,45,28,27,3,26,0,0,39
"43","hihi","-5000",23,37,37,36,34,46,45,0,0,27
"44","hihi","<-5500",64,0,0,0,0,0,2,0,0,0
"45","hihi","NA",46,66,67,74,80,111,77,210,179,74
"46","NA","-2000",0,0,1,0,0,3,0,0,0,0
"47","NA","-3500",0,0,0,0,0,0,0,0,0,0
"48","NA","-5000",0,0,0,0,0,0,0,0,0,0
"49","NA","<-5500",0,0,0,0,0,0,0,0,0,0
"50","NA","NA",1,0,0,0,0,1,0,95,50,0
