"month","mean_dinflow_ALT2 v1 072523 wTUCP","mean_dinflow_ALT2 v1 072523 woTUCP","mean_dinflow_EXP1 071323","mean_dinflow_EXP3 072523","mean_dinflow_NAA 071923","var_dinflow_ALT2 v1 072523 wTUCP","var_dinflow_ALT2 v1 072523 woTUCP","var_dinflow_EXP1 071323","var_dinflow_EXP3 072523","var_dinflow_NAA 071923","sd_dinflow_ALT2 v1 072523 wTUCP","sd_dinflow_ALT2 v1 072523 woTUCP","sd_dinflow_EXP1 071323","sd_dinflow_EXP3 072523","sd_dinflow_NAA 071923"
1,50147.1043398176,50015.27559084043,57881.79890907744,54264.85423865026,49939.7621515599,2815762586.4151955,2811217128.3627944,3145780431.7128687,3115727019.826838,2785219864.0126076,53063.75963324871,53020.91217965601,56087.257302464604,55818.6977618328,52775.18227360857
2,64687.38890782684,64578.49306989445,73813.57437229354,69551.67831398002,64444.32057174693,4016730808.1168556,4010630447.254584,4070952528.3850393,4446483475.145098,4034896723.3997755,63377.68383364018,63329.53850498662,63804.01655370169,66681.95764331681,63520.83692301114
3,50778.16672221175,50785.00705954377,63144.16482617375,54096.457060189714,50797.14888152179,2264208226.9420853,2257451099.2591896,2361674089.463861,2381856660.6916194,2270813242.8907022,47583.69707097259,47512.641467920825,48597.058444558774,48804.268877749,47653.05071966224
4,33361.279786220664,33612.34943884828,44648.643288627485,32769.813863327014,33281.61761246011,745457806.4819975,732607639.1125635,1166497626.5089283,881358328.2057621,751325787.9742746,27303.073205813253,27066.725681407486,34154.0279690248,29687.679737658214,27410.322653596668
5,23930.156954318565,23973.3234656797,26942.90344825316,22826.329514419103,23955.259882846334,247753503.32881764,246119774.93780866,540789268.9368484,315993311.99720746,248205511.94772527,15740.187525211306,15688.204962257749,23254.876239981335,17776.200718860244,15754.53940766677
6,18022.257377969152,18258.441134790653,13050.139295263509,13844.072120493227,18205.60173833034,67220943.86290376,63383516.78045143,176642605.93649906,102136042.11519875,66050252.74168188,8198.83795808307,7961.376563161137,13290.696217147508,10106.237782439059,8127.130658583132
7,20070.446939159843,20199.629139680554,6120.25600230776,11350.796003695272,20533.471615613948,36349192.4228467,32190455.355977762,13027331.76281074,7329001.917137961,36842487.34851251,6029.029144302314,5673.663310065002,3609.339518916271,2707.2129427028754,6069.801261039154
8,16097.859048110548,16017.502913349326,5148.036233489641,8946.12765253197,16264.373963137783,26406039.070498805,26417526.852506403,3825047.253530972,4369198.530328257,25914105.948459074,5138.680674112647,5139.798327999495,1955.7728021247694,2090.262789777462,5090.589941103003
9,15867.964602877817,15834.202940584073,8418.931565428755,11256.542925136351,15607.049404697103,32897605.785101313,33007039.535385173,13255342.638508195,5683977.240823241,33107079.84622237,5735.643449962812,5745.175326775082,3640.788738516449,2384.109318136071,5753.875202524154
10,13621.385278842125,13606.960484839152,8906.43117004079,10589.423890825086,13582.58884162924,34450985.72450265,34502434.257027306,56692453.07333854,24079954.1773554,34876965.35899922,5869.496207043893,5873.877276299472,7529.439094204729,4907.132989572975,5905.672303726243
11,17010.607289544718,17003.685408584308,15028.87735275074,16220.286176896116,16764.91835123526,123989538.47313413,123310572.79857954,231413008.92599985,152804421.71709934,122152324.16961299,11135.058979328944,11104.529382129598,15212.265082031665,12361.40856525256,11052.2542573727
12,33232.6244482155,33176.18190687138,39352.27180810222,45412.96666642254,33004.600578767226,1118395970.7617137,1120017781.9452875,1550307251.8747003,1891886148.7566056,1093629942.4388742,33442.42770436551,33466.66672893026,39373.94127941348,43495.81760073727,33070.076238782305
