"","Alternative","Water Year","Mean","Min","Max"
"1","Alt2wTUCPwoVA","AN",21.7625396225793,6.78672534568924,64.9899213721626
"2","Alt2wTUCPwoVA","BN",23.5717450573548,8.16508350155803,49.644467736317
"3","Alt2wTUCPwoVA","CD",26.4079603626444,9.01032555627178,51.7194312063974
"4","Alt2wTUCPwoVA","D",24.3205393654962,4.04073082555079,46.9005844225297
"5","Alt2wTUCPwoVA","W",20.0389099350333,1.72175552507711,64.9923956468392
"6","Alt2woTUCPAllVA","AN",19.7908644188147,5.15480952776066,64.7809050665873
"7","Alt2woTUCPAllVA","BN",21.5163186144525,6.30239356067491,50.8367613409018
"8","Alt2woTUCPAllVA","CD",24.922360728026,8.25543030013026,64.9835499627603
"9","Alt2woTUCPAllVA","D",22.4622578058729,4.77243365564524,47.2667289977639
"10","Alt2woTUCPAllVA","W",19.5727025295135,1.72182574818194,64.9923964722498
"11","Alt2woTUCPDeltaVA","AN",20.0470483720877,5.59864764115824,64.9899253630375
"12","Alt2woTUCPDeltaVA","BN",22.0172777566666,6.71287108864645,50.4558475731197
"13","Alt2woTUCPDeltaVA","CD",25.5240098328625,7.98718687161379,64.9837152197541
"14","Alt2woTUCPDeltaVA","D",22.6619848917512,3.59371403309632,47.2505377209698
"15","Alt2woTUCPDeltaVA","W",19.6003229432647,1.7218512445507,64.9923964479667
"16","Alt2woTUCPwoVA","AN",21.772081774347,6.78624188494075,64.9899183539041
"17","Alt2woTUCPwoVA","BN",23.4756586554669,8.51682891413789,49.532845529666
"18","Alt2woTUCPwoVA","CD",25.5439826918263,8.20234152599714,54.0666351027438
"19","Alt2woTUCPwoVA","D",24.2028849579133,3.61942315699577,46.8838821394397
"20","Alt2woTUCPwoVA","W",20.0360826124869,1.7217681665978,64.9923954804812
"21","EXP1","AN",0,0,0
"22","EXP1","BN",0,0,0
"23","EXP1","CD",0,0,0
"24","EXP1","D",0,0,0
"25","EXP1","W",0,0,0
"26","EXP3","AN",0,0,0
"27","EXP3","BN",0,0,0
"28","EXP3","CD",0,0,0
"29","EXP3","D",0,0,0
"30","EXP3","W",0,0,0
"31","NAA","AN",20.6791772188976,6.31736089487536,64.9899381378385
"32","NAA","BN",22.9776591052219,7.58780307533468,51.9128030118105
"33","NAA","CD",26.6133257049184,12.4175474319188,64.9836758281357
"34","NAA","D",24.5057008095319,3.58900118283017,49.9933917998031
"35","NAA","W",18.9487828839017,1.72159692948326,64.9923825627955
